Models,lr,nb,nn,rf
lr,0.0,0.9663714456948791,0.5001664779916095,0.5780781780648598,
nb,0.9663714456948791,0.0,0.47499500566025177,0.4183924885130186,
nn,0.5001664779916095,0.47499500566025177,0.0,0.5143504028767397,
rf,0.5780781780648598,0.4183924885130186,0.5143504028767397,0.0,
